code,name,price_שוהם 91,price_per_pack_שוהם 91,promo_price_שוהם 91,price_רעננה 45,price_per_pack_רעננה 45,promo_price_רעננה 45,price_אופקים 47,price_per_pack_אופקים 47,promo_price_אופקים 47,price_לינקולן תל אביב 44,price_per_pack_לינקולן תל אביב 44,promo_price_לינקולן תל אביב 44,price_ברנע 41,price_per_pack_ברנע 41,promo_price_ברנע 41
7290116934358,בולגרית מעודנת 24% פיראוס,,,,,,,,,,28.20,28.2,,,,
7290117261040,זיתים שחורים מרינד 454 גר`,,,,,,,,,,15.90,15.9,,,,
7290117261538,סלמון אטלנטי בשמן קנולה וצ`ילי 120 גר`,,,,,,,,,,14.90,14.9,,,,
7290117261545,סלמון אטלנטי ברוטב טריאקי 120 גר`,,,,,,,,,,14.90,14.9,,,,
7290117264430,מעטפת בצק פילו במילוי גבינת פטה ותרד 300,,,,,,,,,,20.90,20.9,,,,
7290117264683,גבינת מוצרלה עם חלבון 100 גר`,,,,,,,,,,15.90,15.9,,,,
7290117264690,גבינת מוצרלה נטולת לקטוז 100 גר`,,,,,,,,,,15.90,15.9,,,,
7290117265789,גבינה רכה בציפוי פסטו 110 גר`,,,,,,,,,,15.90,15.9,,15.90,15.9,
7290117381199,מאסטר שף קרם קוקוס קרטונית 250 מל,,,,,,,,,,8.90,8.9,,,,
7290117382868,מאסטר שף טורטיות כוסמין 240 גר`,,,,,,,,,,10.90,10.9,,10.90,10.9,
7290117384596,חטיף חלבון TODAY טעם פאי קינמון,,,,,,,,,,13.90,13.9,10.90,13.90,13.9,10.90
7290117903858,שקדיה בורגול עבה 800 גר`,,,,,,,,,,10.90,10.9,,,,
7290117904169,ניוקי שלושה צבעים 500 גר`,,,,,,,,,,9.50,9.5,,,,
7290117905760,גרעיני תירס להכנת פופקורן במיקרוגל 500 ג,,,,,,,,,,13.90,13.9,,,,
7290117905777,גרעיני תירס להכנת פופקורן במיקרוגל 500 ג,,,,,,,,,,13.90,13.9,,,,
7290117906972,חטיף תירס באורז מלא במלח 50 גר`,,,,,,,,,,9.90,9.9,,,,
7290117907023,פרכיות אורז מצופה קרמל מלוח 90 גר`,,,,,,,,,,12.90,12.9,,,,
7290117907559,שומשום בציפוי שוקולד חלב 180 גר`,,,,,,,,,,20.90,20.9,,,,
7290117907788,פרכיות כוסמין ללא מלח 160 גר`,,,,,,,,,,12.90,12.9,,12.90,12.9,
7290118420637,ביסלי פריסטייל 60 גר` אסם,,,,,,,,,,4.90,4.9,,,,
7290118424499,פרפקטו פסטה ספגטי ללא גלוטן 400  גר`כש,,,,,,,,,,15.90,15.9,,,,
7290118427780,תערובת לעוגת שוקולד ללא גלוטן 320 גר`,,,,,,,,,,20.90,20.9,,,,
7290118428220,ויטמינצ`יק סירופ בטעם ענבים 1 ליטר,,,,,,,,,,14.90,14.9,,14.90,14.9,
7290118428695,עדיף מרק טעם עוף אסם 500  גר`כשלפ,,,,,,,,,,13.90,13.9,,,,
7290118990826,פוליבה שמרים נמסים 500 גר`,,,,,,,,,,13.90,13.9,,13.90,13.9,
7290119371037,רבע לשבע CRUNCH,,,,,,,,,,18.50,18.5,,,,
7290119373963,קפסולות קולומביה 06 למכונות נספרו  עלית(,,,,,,,,,,18.90,18.9,,,,
7290119374045,קפסולות טורקי עלית) (10,,,,,,,,,,18.90,18.9,,,,
7290119500833,פופסטאר פופקורן טעם טופי קרמל 140 גר,,,,,,,,,,14.90,14.9,9.90,,,
7290119740062,כבל USB אייפון,,,,,,,,,,19.90,19.9,,,,
7290119740109,אוזניות S4,,,,,,,,,,29.90,29.9,,,,
7290119774241,משקה קל ספרינג 1.5 ליטר ענבים,,,,,,,,,,8.50,8.5,14,,,
7290119776399,ספרינג אלכוהול אננס בננה 330 מל פחית,,,,,,,,,,12.90,12.9,,,,
7290119776498,ספרינג אלכוהול פירות טרופיים 330 מל פח,,,,,,,,,,12.90,12.9,,12.90,12.9,
7290119778140,שוופס קוקטייל טעם רום אבטיח 330 מל פחי,,,,,,,,,,12.90,12.9,,12.90,12.9,
7290119950102,נקניקיות בראטוורסט ביירן מרקט 700 גר`,,,,,,,,,,45.90,45.9,,,,
7290119950119,נקניקיות קנקר עוף ביירן מרקט 700 גר`,,,,,,,,,,49.90,49.9,,,,
7290120667839,ממתק ליקריץ אדום ממולא ללא ציפוי סוכר 20,,,,,,,,,,6.90,6.9,,,,
7290120870093,מרכך טיפול לשיקום וחיזוק שער פגום ביוטין,,,,,,,,,,25.90,25.9,,,,
