store_id,store_name,city,city_norm,proposed_canonical,match_layer,confidence
768,רחובות,רחובות,רחובות,רחובות,L1,1.0
769,רמת החייל,תל אביב-יפו,תל אביב-יפו,תל אביב -יפו,L3,0.957
770,חולון עזריאלי,חולון,חולון,חולון,L1,1.0
771,יהוד,יהוד,יהוד,,NULL,0.0
772,קניון דרורים,בני דרור,בני דרור,בני דרור,L1,1.0
773,קיסריה,קיסריה,קיסריה,קיסריה,L1,1.0
774,הוד השרון,הוד השרון,הוד השרון,הוד השרון,L1,1.0
775,צומת סביון,סביון,סביון,סביון,L1,1.0
776,מפגש מזרע,מזרע,מזרע,מזרע,L1,1.0
777,דלי רעננה,רעננה,רעננה,רעננה,L1,1.0
778,הרצליה,הרצלייה,הרצליה,הרצלייה,L1,1.0
779,טופ דן,תל אביב-יפו,תל אביב-יפו,תל אביב -יפו,L3,0.957
780,"מאז""ה",תל אביב-יפו,תל אביב-יפו,תל אביב -יפו,L3,0.957
781,בן-יהודה 130,תל אביב-יפו,תל אביב-יפו,תל אביב -יפו,L3,0.957
782,בן יהודה 181,תל אביב-יפו,תל אביב-יפו,תל אביב -יפו,L3,0.957
783,חשמונאים 91,תל אביב-יפו,תל אביב-יפו,תל אביב -יפו,L3,0.957
784,אבן גבירול 64,תל אביב-יפו,תל אביב-יפו,תל אביב -יפו,L3,0.957
785,סירקין 13,גבעתיים,גבעתיים,גבעתיים,L1,1.0
786,יפו,תל אביב-יפו,תל אביב-יפו,תל אביב -יפו,L3,0.957
787,פרישמן,תל אביב-יפו,תל אביב-יפו,תל אביב -יפו,L3,0.957
788,פנקס 2,תל אביב-יפו,תל אביב-יפו,תל אביב -יפו,L3,0.957
789,ארלוזורוב,תל אביב-יפו,תל אביב-יפו,תל אביב -יפו,L3,0.957
790,יהודה מכבי,תל אביב-יפו,תל אביב-יפו,תל אביב -יפו,L3,0.957
791,חולון סיטי קוגל,חולון,חולון,חולון,L1,1.0
792,יגאל אלון דלי,תל אביב-יפו,תל אביב-יפו,תל אביב -יפו,L3,0.957
793,דלי כורזין גבעתיים,גבעתיים,גבעתיים,גבעתיים,L1,1.0
794,מרכז כיתן,תל אביב-יפו,תל אביב-יפו,תל אביב -יפו,L3,0.957
795,דלי איינשטיין,תל אביב-יפו,תל אביב-יפו,תל אביב -יפו,L3,0.957
796,בית הדובדבן - אונו,קריית אונו,קריית אונו,קריית אונו,L1,1.0
797,מונטיפיורי פתח תקוה,פתח תקווה,פתח תקווה,פתח תקווה,L1,1.0
798,רמת אפעל,רמת גן,רמת גן,רמת גן,L1,1.0
799,קינג גורג,תל אביב-יפו,תל אביב-יפו,תל אביב -יפו,L3,0.957
